Date,zone,centre,Price
14-04-93,2,JAIPUR,8
14-04-93,2,JODHPUR,8
14-04-93,3,GUWAHATI,NA
14-04-93,3,PATNA,NA
14-04-93,3,SHILLONG,NA
14-04-93,3,AIZAWL,NA
14-04-93,3,BHUBANESHWAR,5
14-04-93,3,CUTTACK,4.8
14-04-93,3,KOLKATA,NA
14-04-93,3,AGARTALA,NA
14-04-93,4,HYDERABAD,5.5
14-04-93,4,VIJAYAWADA,5.5
14-04-93,4,BANGALORE,6
14-04-93,4,THIRUVANANTHAPURAM,7
14-04-93,4,ERNAKULAM,7.2
14-04-93,4,CHENNAI,6.8
14-04-93,4,MADURAI,5.5
14-04-93,4,PONDICHERRY,NA
21-04-93,1,HISAR,7
21-04-93,1,KARNAL,6
21-04-93,1,SHIMLA,7.75
21-04-93,1,MANDI,7.3
21-04-93,1,SRINAGAR,NA
21-04-93,1,JAMMU,6.5
21-04-93,1,AMRITSAR,6
21-04-93,1,LUDHIANA,6
21-04-93,1,LUCKNOW,5.25
21-04-93,1,KANPUR,5.75
21-04-93,1,CHANDIGARH,6.5
21-04-93,1,DELHI,7
21-04-93,2,AHMEDABAD,6.5
21-04-93,2,RAJKOT,6.25
21-04-93,2,PANAJI,NA
21-04-93,2,BHOPAL,6.25
21-04-93,2,INDORE,6.5
21-04-93,2,MUMBAI,7.4
21-04-93,2,NAGPUR,6.25
21-04-93,2,JAIPUR,8
21-04-93,2,JODHPUR,8
21-04-93,3,GUWAHATI,NA
21-04-93,3,PATNA,6
21-04-93,3,SHILLONG,NA
21-04-93,3,AIZAWL,NA
21-04-93,3,BHUBANESHWAR,5
21-04-93,3,CUTTACK,4.8
21-04-93,3,KOLKATA,5.4
21-04-93,3,AGARTALA,NA
21-04-93,4,HYDERABAD,5.5
21-04-93,4,VIJAYAWADA,6
21-04-93,4,BANGALORE,NA
21-04-93,4,THIRUVANANTHAPURAM,NA
21-04-93,4,ERNAKULAM,NA
21-04-93,4,CHENNAI,6
21-04-93,4,MADURAI,5.8
21-04-93,4,PONDICHERRY,7.6
28-04-93,1,HISAR,7
28-04-93,1,KARNAL,7
28-04-93,1,SHIMLA,7.75
28-04-93,1,MANDI,7.3
28-04-93,1,SRINAGAR,NA
28-04-93,1,JAMMU,6.5
28-04-93,1,AMRITSAR,5.5
28-04-93,1,LUDHIANA,6.25
28-04-93,1,LUCKNOW,5.25
28-04-93,1,KANPUR,5.75
28-04-93,1,CHANDIGARH,6.5
28-04-93,1,DELHI,7
28-04-93,2,AHMEDABAD,6.1
28-04-93,2,RAJKOT,6.25
28-04-93,2,PANAJI,6.5
28-04-93,2,BHOPAL,6.25
28-04-93,2,INDORE,6.5
28-04-93,2,MUMBAI,7.5
28-04-93,2,NAGPUR,6.3
28-04-93,2,JAIPUR,8
28-04-93,2,JODHPUR,8
28-04-93,3,GUWAHATI,6
28-04-93,3,PATNA,NA
28-04-93,3,SHILLONG,NA
28-04-93,3,AIZAWL,NA
28-04-93,3,BHUBANESHWAR,5
28-04-93,3,CUTTACK,4.8
28-04-93,3,KOLKATA,5.4
28-04-93,3,AGARTALA,NA
28-04-93,4,HYDERABAD,5.5
28-04-93,4,VIJAYAWADA,6
28-04-93,4,BANGALORE,7
28-04-93,4,THIRUVANANTHAPURAM,7.5
28-04-93,4,ERNAKULAM,7.2
28-04-93,4,CHENNAI,6.8
28-04-93,4,MADURAI,5.8
28-04-93,4,PONDICHERRY,7.6
05-05-93,1,HISAR,NA
05-05-93,1,KARNAL,NA
05-05-93,1,SHIMLA,7.75
05-05-93,1,MANDI,7.3
05-05-93,1,SRINAGAR,NA
05-05-93,1,JAMMU,NA
05-05-93,1,AMRITSAR,NA
05-05-93,1,LUDHIANA,NA
05-05-93,1,LUCKNOW,5.25
05-05-93,1,KANPUR,5.8
05-05-93,1,CHANDIGARH,NA
05-05-93,1,DELHI,7
05-05-93,2,AHMEDABAD,5.9
05-05-93,2,RAJKOT,6.8
05-05-93,2,PANAJI,6.5
05-05-93,2,BHOPAL,6.5
05-05-93,2,INDORE,NA
05-05-93,2,MUMBAI,7.5
05-05-93,2,NAGPUR,6.25
05-05-93,2,JAIPUR,7.8
05-05-93,2,JODHPUR,7.9
05-05-93,3,GUWAHATI,6
05-05-93,3,PATNA,7.5
05-05-93,3,SHILLONG,NA
05-05-93,3,AIZAWL,NA
05-05-93,3,BHUBANESHWAR,5
05-05-93,3,CUTTACK,4.8
05-05-93,3,KOLKATA,5.4
05-05-93,3,AGARTALA,NA
05-05-93,4,HYDERABAD,5.5
05-05-93,4,VIJAYAWADA,6
05-05-93,4,BANGALORE,6.5
05-05-93,4,THIRUVANANTHAPURAM,7.5
05-05-93,4,ERNAKULAM,7.2
05-05-93,4,CHENNAI,6.8
05-05-93,4,MADURAI,5.8
05-05-93,4,PONDICHERRY,7.6
12-05-93,1,HISAR,7
12-05-93,1,KARNAL,7
12-05-93,1,SHIMLA,9
12-05-93,1,MANDI,7.4
12-05-93,1,SRINAGAR,NA
12-05-93,1,JAMMU,NA
12-05-93,1,AMRITSAR,5.75
12-05-93,1,LUDHIANA,6.5
12-05-93,1,LUCKNOW,5.3
12-05-93,1,KANPUR,5.8
12-05-93,1,CHANDIGARH,6.5
12-05-93,1,DELHI,7
12-05-93,2,AHMEDABAD,5.8
12-05-93,2,RAJKOT,6.25
12-05-93,2,PANAJI,6.5
12-05-93,2,BHOPAL,6.5
12-05-93,2,INDORE,6.5
12-05-93,2,MUMBAI,7.5
12-05-93,2,NAGPUR,6.5
12-05-93,2,JAIPUR,7.5
12-05-93,2,JODHPUR,7.9
12-05-93,3,GUWAHATI,NA
12-05-93,3,PATNA,7.3
12-05-93,3,SHILLONG,NA
12-05-93,3,AIZAWL,NA
12-05-93,3,BHUBANESHWAR,5
12-05-93,3,CUTTACK,4.8
12-05-93,3,KOLKATA,5.4
12-05-93,3,AGARTALA,NA
12-05-93,4,HYDERABAD,5.5
12-05-93,4,VIJAYAWADA,6.5
